Team Name,Name,Wins,Losses,Elo (avg=1000),Trueskill Rating (avg=25),Peak MMR,zero Number,Active,Race,Players Defeated,Players Lost To
Facebook Zuckerzerg,keelar,11,2,1198,35.93 ± 3.1,4878,2,No,Zerg,OrangCaramel ; ZESTisBEST ; Turing ; fuinkaze ; nalakuwala ; nalakuwala ; rezecib ; TheMageGuy ; Vauxhall ; Syzygy ; Pacifists,Gyalgatine ; Mestaman
Amazon Painforest,TheMageGuy,0,1,960,20.79 ± 7.2,3704,,No,Protoss,,keelar
Raytheon Husky Unit,Thames,2,5,911,22.60 ± 3.9,3918,6,No,Protoss,Selesse ; Argyle,icyCow ; fuinkaze ; Mannered ; PluTo ; Mestaman
Shopify Our CEO Plays Zerg,Selesse,0,1,960,20.79 ± 7.2,0,,No,Zerg,,Thames
Google AlphaStars,Fent,6,1,1132,30.11 ± 4.1,4541,3,No,Terran,Mestaman ; REALLYANGRY ; rpenguin ; MorOs ; Spitfire ; patch,frugs
Alexa 12 Pool,Mestaman,26,10,1241,36.74 ± 1.7,5287,2,Yes,Protoss,OrangCaramel ; FAir ; Liqht ; PluTo ; juno ; YolBolsun ; Inkarnate ; keelar ; brueda ; Crilmon ; Turing ; NaCl ; SourSpinach ; SourSpinach ; tom ; KiDZ ; Arioch ; BounD ; nStrage ; Anelit ; Philosotoss ; DonRagu ; IIIIIIIIIIII ; Thames ; maryp ; quarkral,SourSpinach ; Fent ; Ender ; brueda ; Emil ; FAir ; OrangCaramel ; Frontstab ; MrNovember ; MrNovember
Capital OneA,Pocari,2,4,940,20.38 ± 4.1,3006,4,No,Terran,Taeho ; TabulaRasa,Anelit ; Iceman ; wokparty ; Alex
Garmin Fenix,RexAliquid,1,6,808,13.49 ± 4.0,0,,No,Random,sergeydr,xale ; Tarnasa ; Littlenold ; REALLYANGRY ; Smitti ; Taeho
Amazon Painforest,MrNovember,22,1,1461,41.67 ± 2.5,5440,2,No,Zerg,OrangCaramel ; OrangCaramel ; StoicWilly ; Kevin ; Mestaman ; Mestaman ; PluTo ; SilverBullet ; eXiled ; GreatArchon ; Gyalgatine ; frugs ; Wailord ; DisCerN ; rezecib ; Maphtar ; FutureNights ; FireFerret ; Nitrous ; FarFetchd ; Youiur ; Argyle,OrangCaramel
Eagleview SC2,PanDasoul,0,4,865,15.42 ± 5.3,3281,,No,Protoss,,Pacifists ; Nitrous ; MorOs ; Iceman
